,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2012-1-2,12:50 AM,36 F,0 F,87 %,WSW,26 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy / Windy
1,2012-1-2,1:00 AM,36 F,30 F,81 %,WSW,25 mph,32 mph,29.33 in,0.0 in,Cloudy / Windy
2,2012-1-2,2:00 AM,36 F,28 F,75 %,WSW,24 mph,31 mph,29.34 in,0.0 in,Cloudy / Windy
3,2012-1-2,2:16 AM,36 F,27 F,70 %,WSW,30 mph,0 mph,29.34 in,0.0 in,Cloudy / Windy
4,2012-1-2,2:23 AM,34 F,30 F,87 %,WSW,24 mph,36 mph,29.35 in,0.0 in,Cloudy / Windy
5,2012-1-2,2:28 AM,34 F,30 F,87 %,WSW,24 mph,33 mph,29.35 in,0.0 in,Cloudy / Windy
6,2012-1-2,3:00 AM,34 F,30 F,87 %,WSW,22 mph,0 mph,29.35 in,0.0 in,Cloudy / Windy
7,2012-1-2,4:00 AM,34 F,28 F,81 %,WSW,21 mph,29 mph,29.36 in,0.0 in,Cloudy / Windy
8,2012-1-2,5:00 AM,34 F,27 F,75 %,WSW,26 mph,35 mph,29.35 in,0.0 in,Cloudy / Windy
9,2012-1-2,5:36 AM,34 F,28 F,81 %,WSW,24 mph,30 mph,29.35 in,0.0 in,Mostly Cloudy / Windy
10,2012-1-2,6:00 AM,34 F,28 F,81 %,WSW,25 mph,32 mph,29.35 in,0.0 in,Cloudy / Windy
11,2012-1-2,6:25 AM,34 F,27 F,75 %,W,29 mph,38 mph,29.35 in,0.0 in,Cloudy / Windy
12,2012-1-2,6:30 AM,34 F,27 F,75 %,W,26 mph,38 mph,29.35 in,0.0 in,Cloudy / Windy
13,2012-1-2,6:37 AM,34 F,27 F,75 %,W,25 mph,35 mph,29.35 in,0.0 in,Cloudy / Windy
14,2012-1-2,7:00 AM,34 F,27 F,75 %,W,26 mph,0 mph,29.36 in,0.0 in,Cloudy / Windy
15,2012-1-2,7:03 AM,34 F,27 F,75 %,W,23 mph,31 mph,29.36 in,0.0 in,Cloudy / Windy
16,2012-1-2,7:10 AM,34 F,27 F,75 %,W,22 mph,30 mph,29.37 in,0.0 in,Cloudy / Windy
17,2012-1-2,7:15 AM,34 F,27 F,75 %,W,20 mph,30 mph,29.37 in,0.0 in,Cloudy
18,2012-1-2,7:17 AM,34 F,27 F,75 %,WSW,25 mph,0 mph,29.37 in,0.0 in,Cloudy / Windy
19,2012-1-2,7:18 AM,34 F,27 F,75 %,WSW,25 mph,0 mph,29.37 in,0.0 in,Cloudy / Windy
20,2012-1-2,7:25 AM,32 F,27 F,80 %,W,22 mph,30 mph,29.37 in,0.0 in,Cloudy / Windy
21,2012-1-2,8:00 AM,32 F,25 F,75 %,W,21 mph,31 mph,29.38 in,0.0 in,Cloudy / Windy
22,2012-1-2,8:50 AM,30 F,25 F,80 %,WSW,25 mph,31 mph,29.39 in,0.0 in,Cloudy / Windy
23,2012-1-2,9:00 AM,32 F,25 F,75 %,W,23 mph,29 mph,29.39 in,0.0 in,Cloudy / Windy
24,2012-1-2,9:13 AM,32 F,25 F,75 %,W,23 mph,31 mph,29.39 in,0.0 in,Cloudy / Windy
25,2012-1-2,9:17 AM,32 F,25 F,75 %,WSW,28 mph,0 mph,29.39 in,0.0 in,Cloudy / Windy
26,2012-1-2,9:31 AM,30 F,25 F,80 %,W,22 mph,28 mph,29.40 in,0.0 in,Cloudy / Windy
27,2012-1-2,11:37 AM,34 F,21 F,60 %,W,31 mph,38 mph,29.41 in,0.0 in,Cloudy / Windy
28,2012-1-2,11:41 AM,32 F,23 F,69 %,WNW,17 mph,38 mph,29.42 in,0.0 in,Cloudy
29,2012-1-2,11:53 AM,32 F,19 F,60 %,W,25 mph,31 mph,29.42 in,0.0 in,Cloudy / Windy
30,2012-1-2,11:59 AM,32 F,19 F,60 %,W,25 mph,35 mph,29.43 in,0.0 in,Cloudy / Windy
