,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2017-1-1,1:00 AM,36 F,25 F,65 %,W,24 mph,0 mph,29.47 in,0.0 in,Partly Cloudy / Windy
1,2017-1-1,2:00 AM,36 F,25 F,65 %,W,22 mph,32 mph,29.53 in,0.0 in,Cloudy / Windy
2,2017-1-1,3:00 AM,34 F,25 F,70 %,W,20 mph,25 mph,29.57 in,0.0 in,Partly Cloudy
3,2017-1-1,4:00 AM,34 F,25 F,70 %,W,23 mph,0 mph,29.62 in,0.0 in,Cloudy / Windy
4,2017-1-1,5:00 AM,34 F,25 F,70 %,W,17 mph,23 mph,29.67 in,0.0 in,Cloudy
5,2017-1-1,6:00 AM,34 F,25 F,70 %,SW,18 mph,0 mph,29.69 in,0.0 in,Cloudy
6,2017-1-1,7:00 AM,34 F,25 F,70 %,WSW,22 mph,28 mph,29.72 in,0.0 in,Mostly Cloudy / Windy
7,2017-1-1,8:00 AM,32 F,23 F,69 %,WSW,17 mph,23 mph,29.76 in,0.0 in,Cloudy
8,2017-1-1,9:00 AM,32 F,23 F,69 %,WSW,16 mph,0 mph,29.80 in,0.0 in,Cloudy
9,2017-1-1,10:00 AM,32 F,21 F,64 %,W,16 mph,0 mph,29.84 in,0.0 in,Partly Cloudy
10,2017-1-1,11:00 AM,34 F,23 F,65 %,WSW,14 mph,0 mph,29.88 in,0.0 in,Fair
11,2017-1-1,12:00 PM,36 F,23 F,60 %,WSW,16 mph,0 mph,29.90 in,0.0 in,Fair
12,2017-1-1,1:00 PM,37 F,23 F,56 %,SW,12 mph,0 mph,29.89 in,0.0 in,Fair
13,2017-1-1,2:00 PM,37 F,21 F,52 %,SW,12 mph,0 mph,29.89 in,0.0 in,Fair
14,2017-1-1,3:00 PM,37 F,23 F,56 %,SW,10 mph,0 mph,29.88 in,0.0 in,Fair
15,2017-1-1,4:00 PM,37 F,23 F,56 %,SW,9 mph,0 mph,29.91 in,0.0 in,Fair
16,2017-1-1,5:00 PM,37 F,23 F,56 %,SW,13 mph,0 mph,29.93 in,0.0 in,Fair
17,2017-1-1,6:00 PM,36 F,23 F,60 %,SW,9 mph,0 mph,29.95 in,0.0 in,Fair
18,2017-1-1,7:00 PM,36 F,23 F,60 %,SW,12 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
19,2017-1-1,8:00 PM,34 F,27 F,75 %,WSW,7 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
20,2017-1-1,9:00 PM,36 F,28 F,75 %,WSW,12 mph,0 mph,30.01 in,0.0 in,Fair
21,2017-1-1,10:00 PM,34 F,27 F,75 %,WSW,9 mph,0 mph,30.03 in,0.0 in,Partly Cloudy
22,2017-1-1,11:00 PM,34 F,27 F,75 %,SW,7 mph,0 mph,30.04 in,0.0 in,Mostly Cloudy
23,2017-1-1,12:00 AM,34 F,27 F,75 %,SW,5 mph,0 mph,30.04 in,0.0 in,Cloudy
24,2017-1-2,1:00 AM,34 F,27 F,75 %,CALM,0 mph,0 mph,30.03 in,0.0 in,Cloudy
25,2017-1-2,2:00 AM,32 F,27 F,80 %,NNE,2 mph,0 mph,30.04 in,0.0 in,Cloudy
26,2017-1-2,3:00 AM,34 F,28 F,81 %,NE,8 mph,0 mph,30.04 in,0.0 in,Mostly Cloudy
27,2017-1-2,4:00 AM,34 F,27 F,75 %,ENE,10 mph,0 mph,30.06 in,0.0 in,Cloudy
28,2017-1-2,5:00 AM,34 F,28 F,81 %,ENE,14 mph,0 mph,30.04 in,0.0 in,Cloudy
29,2017-1-2,6:00 AM,34 F,30 F,87 %,ENE,9 mph,0 mph,30.06 in,0.0 in,Cloudy
30,2017-1-2,7:00 AM,36 F,34 F,93 %,ENE,13 mph,0 mph,30.04 in,0.0 in,Cloudy
