,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2013-1-2,1:00 AM,25 F,16 F,69 %,WSW,17 mph,0 mph,29.77 in,0.0 in,Cloudy
1,2013-1-2,2:00 AM,23 F,16 F,74 %,WSW,16 mph,0 mph,29.75 in,0.0 in,Partly Cloudy
2,2013-1-2,3:00 AM,25 F,16 F,69 %,SW,16 mph,0 mph,29.74 in,0.0 in,Cloudy
3,2013-1-2,3:15 AM,25 F,16 F,69 %,SW,17 mph,0 mph,29.73 in,0.0 in,Cloudy
4,2013-1-2,3:20 AM,25 F,16 F,69 %,SW,20 mph,0 mph,29.73 in,0.0 in,Cloudy
5,2013-1-2,3:59 AM,25 F,18 F,74 %,WSW,21 mph,0 mph,29.74 in,0.0 in,Cloudy / Windy
6,2013-1-2,4:00 AM,25 F,18 F,74 %,SW,18 mph,0 mph,29.74 in,0.0 in,Cloudy
7,2013-1-2,4:50 AM,25 F,18 F,74 %,WSW,21 mph,0 mph,29.73 in,0.0 in,Cloudy / Windy
8,2013-1-2,5:02 AM,25 F,18 F,74 %,WSW,21 mph,0 mph,29.73 in,0.0 in,Cloudy / Windy
9,2013-1-2,5:07 AM,23 F,18 F,80 %,WSW,22 mph,0 mph,29.73 in,0.0 in,Cloudy / Windy
10,2013-1-2,5:22 AM,23 F,16 F,74 %,WSW,22 mph,0 mph,29.73 in,0.0 in,Cloudy / Windy
11,2013-1-2,5:25 AM,23 F,16 F,74 %,WSW,22 mph,0 mph,29.74 in,0.0 in,Cloudy / Windy
12,2013-1-2,6:00 AM,23 F,16 F,74 %,WSW,20 mph,0 mph,29.73 in,0.0 in,Cloudy
13,2013-1-2,7:00 AM,23 F,18 F,80 %,WSW,21 mph,26 mph,29.74 in,0.0 in,Cloudy / Windy
14,2013-1-2,8:00 AM,23 F,18 F,80 %,WSW,23 mph,29 mph,29.76 in,0.0 in,Cloudy / Windy
15,2013-1-2,9:00 AM,25 F,18 F,74 %,WSW,24 mph,31 mph,29.77 in,0.0 in,Cloudy / Windy
16,2013-1-2,9:20 AM,23 F,18 F,80 %,WSW,22 mph,0 mph,29.78 in,0.0 in,Cloudy / Windy
17,2013-1-2,10:00 AM,25 F,18 F,74 %,W,15 mph,21 mph,29.79 in,0.0 in,Fair
18,2013-1-2,11:00 AM,25 F,18 F,74 %,W,17 mph,0 mph,29.80 in,0.0 in,Fair
19,2013-1-2,12:00 PM,27 F,18 F,69 %,W,12 mph,18 mph,29.81 in,0.0 in,Mostly Cloudy
20,2013-1-2,12:17 PM,27 F,18 F,69 %,W,14 mph,0 mph,29.82 in,0.0 in,Cloudy
21,2013-1-2,12:26 PM,27 F,18 F,69 %,W,13 mph,0 mph,29.82 in,0.0 in,Cloudy
22,2013-1-2,12:34 PM,28 F,18 F,64 %,W,12 mph,0 mph,29.82 in,0.0 in,Cloudy
23,2013-1-2,1:00 PM,27 F,18 F,69 %,W,15 mph,0 mph,29.82 in,0.0 in,Mostly Cloudy
24,2013-1-2,1:18 PM,28 F,19 F,69 %,W,14 mph,20 mph,29.82 in,0.0 in,Cloudy
25,2013-1-2,1:20 PM,28 F,19 F,69 %,W,16 mph,0 mph,29.82 in,0.0 in,Cloudy
26,2013-1-2,1:49 PM,30 F,19 F,64 %,W,12 mph,0 mph,29.82 in,0.0 in,Cloudy
27,2013-1-2,2:00 PM,30 F,18 F,60 %,WNW,13 mph,0 mph,29.82 in,0.0 in,Cloudy
28,2013-1-2,3:00 PM,28 F,18 F,64 %,WNW,13 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy
29,2013-1-2,4:00 PM,28 F,18 F,64 %,WNW,10 mph,0 mph,29.86 in,0.0 in,Fair
30,2013-1-2,5:00 PM,28 F,18 F,64 %,WNW,7 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy
31,2013-1-2,6:00 PM,27 F,19 F,74 %,W,7 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy
