,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2019-1-2,1:00 AM,21 F,14 F,74 %,NW,7 mph,0 mph,30.01 in,0.0 in,Cloudy
1,2019-1-2,2:00 AM,21 F,14 F,74 %,NNW,5 mph,0 mph,30.01 in,0.0 in,Partly Cloudy
2,2019-1-2,3:00 AM,21 F,14 F,74 %,NW,6 mph,0 mph,30.03 in,0.0 in,Cloudy
3,2019-1-2,4:00 AM,21 F,14 F,74 %,WNW,7 mph,0 mph,30.06 in,0.0 in,Partly Cloudy
4,2019-1-2,5:00 AM,19 F,12 F,74 %,NNW,8 mph,0 mph,30.06 in,0.0 in,Fair
5,2019-1-2,6:00 AM,19 F,12 F,74 %,NNW,6 mph,0 mph,30.05 in,0.0 in,Fair
6,2019-1-2,6:40 AM,19 F,14 F,80 %,NE,6 mph,0 mph,30.05 in,0.0 in,Mostly Cloudy
7,2019-1-2,7:00 AM,19 F,12 F,74 %,ENE,8 mph,0 mph,30.05 in,0.0 in,Cloudy
8,2019-1-2,8:00 AM,19 F,12 F,74 %,NE,5 mph,0 mph,30.06 in,0.0 in,Cloudy
9,2019-1-2,9:00 AM,19 F,12 F,74 %,ENE,6 mph,0 mph,30.06 in,0.0 in,Cloudy
10,2019-1-2,10:00 AM,19 F,14 F,80 %,NE,5 mph,0 mph,30.07 in,0.0 in,Cloudy
11,2019-1-2,11:00 AM,19 F,12 F,74 %,ENE,13 mph,0 mph,30.05 in,0.0 in,Cloudy
12,2019-1-2,12:00 PM,21 F,14 F,74 %,NE,9 mph,0 mph,30.04 in,0.0 in,Cloudy
13,2019-1-2,1:00 PM,23 F,18 F,80 %,ENE,6 mph,0 mph,30.00 in,0.0 in,Cloudy
14,2019-1-2,2:00 PM,25 F,18 F,74 %,ENE,8 mph,0 mph,29.95 in,0.0 in,Cloudy
15,2019-1-2,3:00 PM,25 F,19 F,80 %,ENE,9 mph,0 mph,29.94 in,0.0 in,Cloudy
16,2019-1-2,3:56 PM,27 F,21 F,80 %,ENE,12 mph,0 mph,29.89 in,0.0 in,Light Snow
17,2019-1-2,4:00 PM,27 F,21 F,80 %,ENE,10 mph,0 mph,29.89 in,0.0 in,Light Snow
18,2019-1-2,4:31 PM,27 F,23 F,86 %,ENE,10 mph,0 mph,29.86 in,0.0 in,Cloudy
19,2019-1-2,5:00 PM,27 F,23 F,86 %,E,9 mph,0 mph,29.83 in,0.0 in,Cloudy
20,2019-1-2,5:38 PM,28 F,23 F,80 %,E,6 mph,0 mph,29.82 in,0.0 in,Cloudy
21,2019-1-2,5:51 PM,28 F,23 F,80 %,SE,7 mph,0 mph,29.82 in,0.0 in,Cloudy
22,2019-1-2,6:00 PM,28 F,23 F,80 %,E,5 mph,0 mph,29.81 in,0.0 in,Cloudy
23,2019-1-2,6:44 PM,30 F,25 F,80 %,E,7 mph,0 mph,29.79 in,0.0 in,Light Snow
24,2019-1-2,7:00 PM,30 F,25 F,80 %,E,9 mph,0 mph,29.78 in,0.0 in,Light Snow
25,2019-1-2,7:05 PM,30 F,25 F,80 %,E,7 mph,0 mph,29.78 in,0.0 in,Light Snow
26,2019-1-2,7:21 PM,30 F,25 F,80 %,E,8 mph,0 mph,29.76 in,0.0 in,Light Snow
27,2019-1-2,7:32 PM,30 F,27 F,86 %,E,7 mph,0 mph,29.76 in,0.0 in,Light Snow
28,2019-1-2,7:45 PM,30 F,27 F,86 %,E,8 mph,0 mph,29.75 in,0.0 in,Light Snow
29,2019-1-2,8:00 PM,30 F,27 F,86 %,E,8 mph,0 mph,29.74 in,0.0 in,Light Snow
30,2019-1-2,8:41 PM,32 F,28 F,87 %,E,8 mph,0 mph,29.72 in,0.0 in,Light Snow
31,2019-1-2,9:00 PM,32 F,28 F,87 %,E,8 mph,0 mph,29.71 in,0.0 in,Light Snow
32,2019-1-2,10:00 PM,32 F,28 F,87 %,E,9 mph,0 mph,29.67 in,0.0 in,Light Snow
33,2019-1-2,10:03 PM,32 F,28 F,87 %,E,9 mph,0 mph,29.67 in,0.0 in,Light Snow
34,2019-1-2,10:53 PM,32 F,30 F,93 %,E,9 mph,0 mph,29.63 in,0.0 in,Light Snow
35,2019-1-2,11:00 PM,32 F,30 F,93 %,E,9 mph,0 mph,29.63 in,0.0 in,Light Snow
36,2019-1-2,11:32 PM,32 F,30 F,93 %,E,8 mph,0 mph,29.61 in,0.0 in,Light Snow
37,2019-1-2,12:00 AM,32 F,30 F,93 %,E,7 mph,0 mph,29.59 in,0.0 in,Light Snow
38,2019-1-2,12:13 AM,32 F,30 F,93 %,E,6 mph,0 mph,29.58 in,0.0 in,Light Snow
39,2019-1-2,12:17 AM,32 F,30 F,93 %,E,6 mph,0 mph,29.57 in,0.0 in,Light Snow
40,2019-1-2,12:29 AM,32 F,30 F,93 %,E,5 mph,0 mph,29.57 in,0.0 in,Light Snow
41,2019-1-2,12:36 AM,32 F,30 F,93 %,ENE,7 mph,0 mph,29.56 in,0.0 in,Light Snow
42,2019-1-2,12:39 AM,32 F,32 F,100 %,ENE,7 mph,0 mph,29.56 in,0.0 in,Light Snow
43,2019-1-2,12:43 AM,32 F,32 F,100 %,E,5 mph,0 mph,29.56 in,0.0 in,Light Snow
44,2019-1-2,12:50 AM,32 F,32 F,100 %,ESE,5 mph,0 mph,29.56 in,0.0 in,Light Snow
45,2019-1-2,12:51 AM,32 F,32 F,100 %,E,6 mph,0 mph,29.56 in,0.0 in,Light Snow
46,2019-1-2,12:57 AM,32 F,32 F,100 %,E,6 mph,0 mph,29.55 in,0.0 in,Light Snow
47,2019-1-3,1:00 AM,32 F,32 F,100 %,E,6 mph,0 mph,29.55 in,0.0 in,Light Snow
48,2019-1-3,1:05 AM,32 F,32 F,100 %,E,5 mph,0 mph,29.55 in,0.0 in,Light Snow
49,2019-1-3,1:12 AM,32 F,32 F,100 %,ENE,3 mph,0 mph,29.55 in,0.0 in,Light Snow
50,2019-1-3,1:14 AM,32 F,32 F,100 %,ENE,5 mph,0 mph,29.55 in,0.0 in,Light Snow
51,2019-1-3,1:16 AM,32 F,32 F,100 %,ENE,5 mph,0 mph,29.55 in,0.0 in,Light Snow
52,2019-1-3,1:17 AM,32 F,32 F,100 %,ENE,5 mph,0 mph,29.55 in,0.0 in,Light Snow
53,2019-1-3,1:24 AM,32 F,32 F,100 %,ENE,6 mph,0 mph,29.54 in,0.0 in,Light Snow
54,2019-1-3,1:36 AM,32 F,32 F,100 %,ENE,3 mph,0 mph,29.54 in,0.0 in,Light Snow
