,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2015-1-1,1:00 AM,21 F,9 F,58 %,WSW,26 mph,36 mph,29.73 in,0.0 in,Partly Cloudy / Windy
1,2015-1-1,2:00 AM,21 F,7 F,54 %,WSW,25 mph,35 mph,29.70 in,0.0 in,Cloudy / Windy
2,2015-1-1,3:00 AM,21 F,9 F,58 %,WSW,28 mph,36 mph,29.70 in,0.0 in,Partly Cloudy / Windy
3,2015-1-1,4:00 AM,21 F,10 F,63 %,WSW,20 mph,30 mph,29.70 in,0.0 in,Cloudy
4,2015-1-1,5:00 AM,21 F,10 F,63 %,WSW,22 mph,29 mph,29.68 in,0.0 in,Partly Cloudy / Windy
5,2015-1-1,6:00 AM,21 F,12 F,68 %,WSW,26 mph,32 mph,29.66 in,0.0 in,Partly Cloudy / Windy
6,2015-1-1,7:00 AM,23 F,14 F,68 %,WSW,33 mph,43 mph,29.66 in,0.0 in,Cloudy / Windy
7,2015-1-1,8:00 AM,23 F,14 F,68 %,WSW,29 mph,36 mph,29.66 in,0.0 in,Cloudy / Windy
8,2015-1-1,9:00 AM,23 F,14 F,68 %,SW,32 mph,38 mph,29.64 in,0.0 in,Cloudy / Windy
9,2015-1-1,10:00 AM,23 F,14 F,68 %,WSW,28 mph,35 mph,29.64 in,0.0 in,Mostly Cloudy / Windy
10,2015-1-1,11:00 AM,25 F,14 F,64 %,WSW,30 mph,36 mph,29.63 in,0.0 in,Cloudy / Windy
11,2015-1-1,12:00 PM,25 F,14 F,64 %,WSW,28 mph,38 mph,29.59 in,0.0 in,Cloudy / Windy
12,2015-1-1,1:00 PM,27 F,14 F,59 %,WSW,29 mph,38 mph,29.56 in,0.0 in,Cloudy / Windy
13,2015-1-1,1:42 PM,27 F,16 F,64 %,WSW,26 mph,32 mph,29.54 in,0.0 in,Light Snow / Windy
14,2015-1-1,1:54 PM,27 F,14 F,59 %,W,29 mph,38 mph,29.54 in,0.0 in,Cloudy / Windy
15,2015-1-1,2:00 PM,27 F,14 F,59 %,WSW,21 mph,35 mph,29.54 in,0.0 in,Cloudy / Windy
16,2015-1-1,3:00 PM,27 F,14 F,59 %,W,23 mph,30 mph,29.53 in,0.0 in,Cloudy / Windy
17,2015-1-1,4:00 PM,27 F,14 F,59 %,WSW,28 mph,35 mph,29.55 in,0.0 in,Cloudy / Windy
18,2015-1-1,5:00 PM,27 F,14 F,59 %,WSW,24 mph,0 mph,29.56 in,0.0 in,Cloudy / Windy
19,2015-1-1,6:00 PM,28 F,14 F,55 %,WSW,21 mph,29 mph,29.58 in,0.0 in,Cloudy / Windy
20,2015-1-1,7:00 PM,28 F,16 F,59 %,WSW,23 mph,30 mph,29.58 in,0.0 in,Cloudy / Windy
21,2015-1-1,8:00 PM,30 F,16 F,55 %,WSW,25 mph,33 mph,29.59 in,0.0 in,Cloudy / Windy
22,2015-1-1,9:00 PM,30 F,16 F,55 %,WSW,26 mph,33 mph,29.62 in,0.0 in,Cloudy / Windy
23,2015-1-1,10:00 PM,30 F,18 F,60 %,WSW,25 mph,32 mph,29.64 in,0.0 in,Cloudy / Windy
24,2015-1-1,10:45 PM,30 F,18 F,60 %,WSW,24 mph,32 mph,29.64 in,0.0 in,Light Snow / Windy
25,2015-1-1,11:00 PM,30 F,18 F,60 %,WSW,26 mph,0 mph,29.65 in,0.0 in,Light Snow / Windy
26,2015-1-1,11:01 PM,30 F,19 F,64 %,WSW,25 mph,32 mph,29.65 in,0.0 in,Cloudy / Windy
27,2015-1-1,11:04 PM,30 F,19 F,64 %,WSW,26 mph,36 mph,29.65 in,0.0 in,Light Snow / Windy
28,2015-1-1,11:15 PM,30 F,19 F,64 %,WSW,24 mph,31 mph,29.65 in,0.0 in,Cloudy / Windy
29,2015-1-1,11:29 PM,30 F,19 F,64 %,WSW,25 mph,33 mph,29.65 in,0.0 in,Light Snow / Windy
30,2015-1-1,11:43 PM,30 F,21 F,69 %,WSW,25 mph,33 mph,29.66 in,0.0 in,Cloudy / Windy
31,2015-1-1,12:00 AM,30 F,21 F,69 %,WSW,25 mph,32 mph,29.67 in,0.0 in,Cloudy / Windy
32,2015-1-1,12:33 AM,30 F,21 F,69 %,WSW,23 mph,33 mph,29.67 in,0.0 in,Light Snow / Windy
33,2015-1-2,1:00 AM,30 F,21 F,69 %,WSW,24 mph,32 mph,29.67 in,0.0 in,Light Snow / Windy
34,2015-1-2,1:10 AM,30 F,23 F,75 %,WSW,25 mph,32 mph,29.68 in,0.0 in,Cloudy / Windy
35,2015-1-2,1:20 AM,30 F,21 F,69 %,WSW,26 mph,32 mph,29.67 in,0.0 in,Light Snow / Windy
36,2015-1-2,1:39 AM,30 F,21 F,69 %,WSW,26 mph,36 mph,29.68 in,0.0 in,Cloudy / Windy
37,2015-1-2,1:42 AM,30 F,21 F,69 %,WSW,25 mph,31 mph,29.68 in,0.0 in,Light Snow / Windy
38,2015-1-2,2:00 AM,30 F,23 F,75 %,WSW,28 mph,0 mph,29.69 in,0.0 in,Light Snow / Windy
39,2015-1-2,2:26 AM,30 F,23 F,75 %,WNW,15 mph,28 mph,29.71 in,0.0 in,Light Snow
40,2015-1-2,2:31 AM,28 F,25 F,86 %,WNW,16 mph,22 mph,29.71 in,0.0 in,Light Snow
41,2015-1-2,2:35 AM,28 F,25 F,86 %,WNW,14 mph,22 mph,29.71 in,0.0 in,Light Snow
42,2015-1-2,2:46 AM,28 F,25 F,86 %,W,16 mph,0 mph,29.72 in,0.0 in,Light Snow
