,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2016-1-2,1:00 AM,28 F,21 F,74 %,W,22 mph,28 mph,29.77 in,0.0 in,Fair / Windy
1,2016-1-2,2:00 AM,28 F,19 F,69 %,WSW,18 mph,24 mph,29.77 in,0.0 in,Fair
2,2016-1-2,3:00 AM,28 F,18 F,64 %,W,15 mph,21 mph,29.76 in,0.0 in,Fair
3,2016-1-2,4:00 AM,28 F,18 F,64 %,W,12 mph,18 mph,29.76 in,0.0 in,Mostly Cloudy
4,2016-1-2,5:00 AM,28 F,23 F,80 %,WSW,15 mph,0 mph,29.73 in,0.0 in,Cloudy
5,2016-1-2,5:36 AM,30 F,25 F,80 %,WSW,17 mph,24 mph,29.71 in,0.0 in,Cloudy
6,2016-1-2,6:00 AM,30 F,25 F,80 %,SW,21 mph,31 mph,29.71 in,0.0 in,Cloudy / Windy
7,2016-1-2,7:00 AM,30 F,25 F,80 %,WSW,22 mph,28 mph,29.72 in,0.0 in,Cloudy / Windy
8,2016-1-2,8:00 AM,30 F,23 F,75 %,SW,18 mph,24 mph,29.70 in,0.0 in,Cloudy
9,2016-1-2,8:02 AM,30 F,23 F,75 %,SW,16 mph,24 mph,29.70 in,0.0 in,Cloudy
10,2016-1-2,8:22 AM,30 F,23 F,75 %,SW,20 mph,0 mph,29.70 in,0.0 in,Light Snow
11,2016-1-2,8:32 AM,30 F,23 F,75 %,SW,23 mph,0 mph,29.70 in,0.0 in,Cloudy / Windy
12,2016-1-2,9:00 AM,30 F,23 F,75 %,WSW,21 mph,29 mph,29.70 in,0.0 in,Cloudy / Windy
13,2016-1-2,10:00 AM,30 F,23 F,75 %,WSW,20 mph,0 mph,29.70 in,0.0 in,Cloudy
14,2016-1-2,10:18 AM,30 F,25 F,80 %,WSW,18 mph,0 mph,29.71 in,0.0 in,Light Snow
15,2016-1-2,11:00 AM,32 F,25 F,75 %,WSW,20 mph,0 mph,29.71 in,0.0 in,Light Snow
16,2016-1-2,12:00 PM,32 F,25 F,75 %,WSW,18 mph,0 mph,29.71 in,0.0 in,Light Snow
17,2016-1-2,12:39 PM,32 F,27 F,80 %,WSW,17 mph,23 mph,29.69 in,0.0 in,Light Snow
18,2016-1-2,12:47 PM,32 F,27 F,80 %,WSW,18 mph,0 mph,29.68 in,0.0 in,Light Snow
19,2016-1-2,12:52 PM,32 F,27 F,80 %,WSW,18 mph,0 mph,29.68 in,0.0 in,Light Snow
20,2016-1-2,12:58 PM,32 F,27 F,80 %,SW,20 mph,0 mph,29.68 in,0.0 in,Unknown Precipitation
21,2016-1-2,1:00 PM,32 F,25 F,75 %,WSW,20 mph,0 mph,29.67 in,0.0 in,Unknown Precipitation
