,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2018-1-1,1:00 AM,3 F,-4 F,72 %,NW,5 mph,0 mph,30.15 in,0.0 in,Fair
1,2018-1-1,2:00 AM,1 F,-6 F,72 %,VAR,2 mph,0 mph,30.14 in,0.0 in,Fair
2,2018-1-1,3:00 AM,1 F,-6 F,72 %,WNW,9 mph,0 mph,30.15 in,0.0 in,Fair
3,2018-1-1,4:00 AM,0 F,-8 F,72 %,NW,6 mph,0 mph,30.15 in,0.0 in,Fair
4,2018-1-1,5:00 AM,1 F,-6 F,72 %,NW,3 mph,0 mph,30.14 in,0.0 in,Fair
5,2018-1-1,6:00 AM,3 F,-4 F,72 %,NW,3 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
6,2018-1-1,7:00 AM,3 F,-2 F,78 %,CALM,0 mph,0 mph,30.11 in,0.0 in,Cloudy
7,2018-1-1,7:16 AM,5 F,-2 F,72 %,VAR,2 mph,0 mph,30.10 in,0.0 in,Light Snow
8,2018-1-1,7:33 AM,5 F,-2 F,72 %,E,2 mph,0 mph,30.10 in,0.0 in,Cloudy
9,2018-1-1,8:00 AM,7 F,0 F,72 %,ENE,3 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy
10,2018-1-1,8:31 AM,10 F,5 F,79 %,WSW,12 mph,0 mph,30.08 in,0.0 in,Partly Cloudy
11,2018-1-1,9:00 AM,7 F,1 F,79 %,W,10 mph,0 mph,30.07 in,0.0 in,Mostly Cloudy
12,2018-1-1,10:00 AM,9 F,3 F,79 %,W,12 mph,0 mph,30.05 in,0.0 in,Fair
13,2018-1-1,11:00 AM,12 F,3 F,67 %,W,20 mph,25 mph,30.05 in,0.0 in,Partly Cloudy
14,2018-1-1,12:00 PM,14 F,7 F,73 %,WSW,23 mph,0 mph,30.04 in,0.0 in,Fair / Windy
15,2018-1-1,1:00 PM,16 F,5 F,62 %,W,22 mph,30 mph,30.02 in,0.0 in,Partly Cloudy / Windy
16,2018-1-1,2:00 PM,16 F,7 F,68 %,WSW,25 mph,31 mph,29.99 in,0.0 in,Fair / Windy
17,2018-1-1,3:00 PM,18 F,7 F,63 %,W,26 mph,0 mph,29.98 in,0.0 in,Partly Cloudy / Windy
18,2018-1-1,3:19 PM,18 F,7 F,63 %,WSW,24 mph,0 mph,29.98 in,0.0 in,Light Snow / Windy
19,2018-1-1,3:38 PM,18 F,9 F,68 %,W,22 mph,28 mph,29.98 in,0.0 in,Light Snow / Windy
20,2018-1-1,3:40 PM,18 F,9 F,68 %,WSW,23 mph,0 mph,29.98 in,0.0 in,Light Snow / Windy
21,2018-1-1,3:42 PM,16 F,9 F,73 %,W,23 mph,0 mph,29.98 in,0.0 in,Light Snow / Windy
22,2018-1-1,3:46 PM,16 F,9 F,73 %,WNW,17 mph,28 mph,29.99 in,0.0 in,Light Snow
23,2018-1-1,3:50 PM,16 F,9 F,73 %,W,16 mph,26 mph,29.99 in,0.0 in,Light Snow
24,2018-1-1,3:52 PM,16 F,9 F,73 %,W,14 mph,25 mph,29.99 in,0.0 in,Light Snow
25,2018-1-1,3:57 PM,16 F,9 F,73 %,WNW,14 mph,21 mph,29.99 in,0.0 in,Light Snow
26,2018-1-1,4:00 PM,16 F,9 F,73 %,W,14 mph,20 mph,30.00 in,0.0 in,Light Snow
27,2018-1-1,4:06 PM,16 F,9 F,73 %,WNW,16 mph,0 mph,30.00 in,0.0 in,Light Snow
28,2018-1-1,4:20 PM,16 F,7 F,68 %,NW,16 mph,23 mph,30.00 in,0.0 in,Light Snow
29,2018-1-1,4:32 PM,16 F,3 F,58 %,WNW,16 mph,25 mph,30.01 in,0.0 in,Mostly Cloudy
30,2018-1-1,5:00 PM,16 F,0 F,49 %,NW,13 mph,26 mph,30.02 in,0.0 in,Fair
31,2018-1-1,5:41 PM,14 F,0 F,53 %,WNW,18 mph,25 mph,30.02 in,0.0 in,Light Snow
32,2018-1-1,5:52 PM,14 F,0 F,53 %,WNW,17 mph,25 mph,30.03 in,0.0 in,Mostly Cloudy
33,2018-1-1,6:00 PM,14 F,0 F,53 %,NW,14 mph,24 mph,30.03 in,0.0 in,Mostly Cloudy
34,2018-1-1,7:00 PM,12 F,0 F,57 %,WNW,16 mph,22 mph,30.06 in,0.0 in,Fair
35,2018-1-1,8:00 PM,10 F,0 F,62 %,W,15 mph,21 mph,30.08 in,0.0 in,Fair
36,2018-1-1,9:00 PM,10 F,-2 F,57 %,W,20 mph,25 mph,30.08 in,0.0 in,Partly Cloudy
37,2018-1-1,10:00 PM,10 F,0 F,62 %,W,15 mph,21 mph,30.09 in,0.0 in,Fair
38,2018-1-1,11:00 PM,10 F,0 F,62 %,W,12 mph,0 mph,30.10 in,0.0 in,Fair
39,2018-1-1,12:00 AM,10 F,0 F,62 %,NW,6 mph,0 mph,30.10 in,0.0 in,Cloudy
40,2018-1-1,12:58 AM,9 F,1 F,73 %,ENE,9 mph,0 mph,30.10 in,0.0 in,Light Snow
41,2018-1-2,1:00 AM,9 F,1 F,73 %,E,7 mph,0 mph,30.10 in,0.0 in,Light Snow
42,2018-1-2,1:10 AM,9 F,1 F,73 %,E,7 mph,0 mph,30.09 in,0.0 in,Cloudy
43,2018-1-2,1:13 AM,9 F,1 F,73 %,E,7 mph,0 mph,30.09 in,0.0 in,Light Snow
44,2018-1-2,1:45 AM,9 F,3 F,79 %,E,5 mph,0 mph,30.09 in,0.0 in,Cloudy
45,2018-1-2,1:50 AM,9 F,3 F,79 %,ENE,5 mph,0 mph,30.09 in,0.0 in,Light Snow
46,2018-1-2,2:00 AM,10 F,3 F,73 %,VAR,8 mph,0 mph,30.08 in,0.0 in,Light Snow
47,2018-1-2,2:05 AM,14 F,7 F,73 %,VAR,13 mph,0 mph,30.08 in,0.0 in,Cloudy
48,2018-1-2,2:06 AM,14 F,7 F,73 %,VAR,12 mph,0 mph,30.08 in,0.0 in,Light Snow
49,2018-1-2,3:00 AM,16 F,10 F,79 %,WSW,17 mph,0 mph,30.07 in,0.0 in,Light Snow
50,2018-1-2,3:37 AM,16 F,10 F,79 %,WSW,20 mph,0 mph,30.07 in,0.0 in,Light Snow
51,2018-1-2,4:00 AM,16 F,10 F,79 %,WSW,15 mph,21 mph,30.07 in,0.0 in,Light Snow
52,2018-1-2,4:01 AM,16 F,10 F,79 %,WSW,15 mph,21 mph,30.07 in,0.0 in,Light Snow
53,2018-1-2,4:33 AM,16 F,10 F,79 %,WSW,13 mph,0 mph,30.06 in,0.0 in,Light Snow
54,2018-1-2,4:47 AM,16 F,10 F,79 %,WSW,10 mph,0 mph,30.06 in,0.0 in,Light Snow
55,2018-1-2,5:00 AM,16 F,10 F,79 %,WSW,9 mph,0 mph,30.06 in,0.0 in,Light Snow
56,2018-1-2,5:34 AM,16 F,12 F,86 %,WSW,21 mph,0 mph,30.05 in,0.0 in,Light Snow / Windy
57,2018-1-2,5:46 AM,16 F,12 F,86 %,WSW,22 mph,28 mph,30.04 in,0.0 in,Light Snow / Windy
58,2018-1-2,5:57 AM,18 F,12 F,79 %,WSW,24 mph,0 mph,30.04 in,0.0 in,Light Snow / Windy
59,2018-1-2,6:00 AM,18 F,12 F,79 %,W,22 mph,29 mph,30.04 in,0.0 in,Light Snow / Windy
60,2018-1-2,6:09 AM,18 F,12 F,79 %,WSW,26 mph,0 mph,30.04 in,0.0 in,Light Snow / Windy
61,2018-1-2,6:23 AM,18 F,12 F,79 %,WSW,24 mph,31 mph,30.04 in,0.0 in,Light Snow / Windy
62,2018-1-2,6:27 AM,18 F,12 F,79 %,WSW,23 mph,31 mph,30.04 in,0.0 in,Light Snow / Windy
63,2018-1-2,6:30 AM,18 F,12 F,79 %,WSW,21 mph,31 mph,30.04 in,0.0 in,Light Snow / Windy
64,2018-1-2,6:50 AM,18 F,10 F,73 %,W,26 mph,32 mph,30.03 in,0.0 in,Light Snow / Windy
65,2018-1-2,6:54 AM,18 F,10 F,73 %,W,22 mph,32 mph,30.03 in,0.0 in,Light Snow / Windy
66,2018-1-2,7:00 AM,18 F,10 F,73 %,W,24 mph,31 mph,30.03 in,0.0 in,Light Snow / Windy
67,2018-1-2,7:06 AM,18 F,10 F,73 %,W,20 mph,31 mph,30.03 in,0.0 in,Cloudy
68,2018-1-2,7:07 AM,18 F,10 F,73 %,W,22 mph,31 mph,30.03 in,0.0 in,Light Snow / Windy
69,2018-1-2,7:14 AM,18 F,10 F,73 %,W,26 mph,0 mph,30.02 in,0.0 in,Light Snow / Windy
70,2018-1-2,7:20 AM,18 F,10 F,73 %,W,28 mph,33 mph,30.02 in,0.0 in,Light Snow / Windy
71,2018-1-2,7:32 AM,18 F,10 F,73 %,W,23 mph,32 mph,30.02 in,0.0 in,Light Snow / Windy
72,2018-1-2,7:36 AM,18 F,10 F,73 %,W,26 mph,32 mph,30.02 in,0.0 in,Light Snow / Windy
73,2018-1-2,7:57 AM,18 F,10 F,73 %,WSW,26 mph,0 mph,30.02 in,0.0 in,Cloudy / Windy
74,2018-1-2,8:00 AM,18 F,10 F,73 %,WSW,25 mph,33 mph,30.03 in,0.0 in,Cloudy / Windy
75,2018-1-2,8:10 AM,16 F,10 F,79 %,W,28 mph,35 mph,30.02 in,0.0 in,Light Snow / Windy
76,2018-1-2,8:27 AM,16 F,9 F,73 %,W,29 mph,0 mph,30.03 in,0.0 in,Cloudy / Windy
77,2018-1-2,9:00 AM,14 F,9 F,79 %,WSW,24 mph,31 mph,30.01 in,0.0 in,Cloudy / Windy
78,2018-1-2,9:13 AM,14 F,9 F,79 %,WSW,30 mph,37 mph,30.01 in,0.0 in,Light Snow / Windy
79,2018-1-2,9:17 AM,14 F,9 F,79 %,WSW,29 mph,37 mph,30.01 in,0.0 in,Light Snow / Windy
80,2018-1-2,9:23 AM,14 F,9 F,79 %,WSW,25 mph,36 mph,30.01 in,0.0 in,Light Snow / Windy
81,2018-1-2,9:32 AM,14 F,9 F,79 %,WSW,28 mph,35 mph,30.01 in,0.0 in,Cloudy / Windy
82,2018-1-2,9:37 AM,14 F,9 F,79 %,WSW,25 mph,35 mph,30.01 in,0.0 in,Light Snow / Windy
83,2018-1-2,9:52 AM,14 F,9 F,79 %,WSW,25 mph,0 mph,30.01 in,0.0 in,Cloudy / Windy
84,2018-1-2,10:00 AM,14 F,9 F,79 %,WSW,25 mph,32 mph,30.00 in,0.0 in,Cloudy / Windy
85,2018-1-2,10:12 AM,14 F,9 F,79 %,WSW,30 mph,37 mph,30.00 in,0.0 in,Cloudy / Windy
86,2018-1-2,10:14 AM,14 F,7 F,73 %,WSW,31 mph,37 mph,30.00 in,0.0 in,Light Snow / Windy
87,2018-1-2,10:17 AM,14 F,7 F,73 %,WSW,29 mph,37 mph,30.00 in,0.0 in,Light Snow / Windy
88,2018-1-2,10:22 AM,14 F,7 F,73 %,WSW,26 mph,37 mph,30.00 in,0.0 in,Light Snow / Windy
89,2018-1-2,10:29 AM,12 F,7 F,79 %,WSW,31 mph,38 mph,30.00 in,0.0 in,Light Snow / Windy
90,2018-1-2,10:46 AM,14 F,7 F,73 %,WSW,30 mph,0 mph,29.99 in,0.0 in,Light Snow / Windy
91,2018-1-2,10:52 AM,14 F,9 F,79 %,WSW,30 mph,38 mph,29.99 in,0.0 in,Light Snow / Windy
92,2018-1-2,11:00 AM,14 F,9 F,79 %,WSW,28 mph,38 mph,29.98 in,0.0 in,Light Snow / Windy
93,2018-1-2,11:02 AM,14 F,9 F,79 %,WSW,29 mph,37 mph,29.98 in,0.0 in,Light Snow / Windy
94,2018-1-2,11:44 AM,14 F,9 F,79 %,WSW,28 mph,33 mph,29.98 in,0.0 in,Light Snow / Windy
95,2018-1-2,11:47 AM,16 F,9 F,73 %,WSW,25 mph,33 mph,29.98 in,0.0 in,Haze / Windy
96,2018-1-2,11:48 AM,16 F,9 F,73 %,WSW,25 mph,33 mph,29.98 in,0.0 in,Light Snow / Windy
97,2018-1-2,12:00 PM,16 F,9 F,73 %,SW,26 mph,36 mph,29.97 in,0.0 in,Cloudy / Windy
98,2018-1-2,12:04 PM,16 F,9 F,73 %,SW,28 mph,36 mph,29.96 in,0.0 in,Cloudy / Windy
99,2018-1-2,12:10 PM,16 F,9 F,73 %,WSW,26 mph,32 mph,29.97 in,0.0 in,Haze / Windy
100,2018-1-2,12:27 PM,16 F,10 F,79 %,WSW,28 mph,36 mph,29.95 in,0.0 in,Light Snow / Windy
101,2018-1-2,12:55 PM,16 F,10 F,79 %,WSW,24 mph,32 mph,29.94 in,0.0 in,Cloudy / Windy
102,2018-1-2,1:00 PM,18 F,10 F,73 %,WSW,23 mph,30 mph,29.94 in,0.0 in,Cloudy / Windy
103,2018-1-2,1:13 PM,16 F,10 F,79 %,WSW,29 mph,0 mph,29.94 in,0.0 in,Light Snow / Windy
104,2018-1-2,1:54 PM,18 F,10 F,73 %,WSW,24 mph,36 mph,29.92 in,0.0 in,Cloudy / Windy
105,2018-1-2,2:00 PM,18 F,10 F,73 %,WSW,26 mph,0 mph,29.91 in,0.0 in,Cloudy / Windy
106,2018-1-2,3:00 PM,19 F,10 F,68 %,WSW,31 mph,0 mph,29.90 in,0.0 in,Cloudy / Windy
107,2018-1-2,4:00 PM,19 F,10 F,68 %,WSW,28 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy / Windy
108,2018-1-2,5:00 PM,19 F,10 F,68 %,W,20 mph,31 mph,29.90 in,0.0 in,Cloudy
109,2018-1-2,5:47 PM,19 F,12 F,74 %,SW,30 mph,37 mph,29.90 in,0.0 in,Light Snow / Windy
110,2018-1-2,5:53 PM,18 F,10 F,73 %,SW,33 mph,39 mph,29.89 in,0.0 in,Light Snow / Windy
111,2018-1-2,6:00 PM,18 F,10 F,73 %,WSW,32 mph,39 mph,29.90 in,0.0 in,Light Snow / Windy
112,2018-1-2,6:09 PM,18 F,10 F,73 %,WSW,30 mph,37 mph,29.90 in,0.0 in,Light Snow / Windy
113,2018-1-2,6:11 PM,18 F,10 F,73 %,WSW,30 mph,37 mph,29.91 in,0.0 in,Light Snow / Windy
114,2018-1-2,6:20 PM,18 F,10 F,73 %,WSW,24 mph,36 mph,29.91 in,0.0 in,Light Snow / Windy
115,2018-1-2,6:29 PM,18 F,10 F,73 %,WSW,24 mph,31 mph,29.91 in,0.0 in,Cloudy / Windy
116,2018-1-2,7:00 PM,16 F,9 F,73 %,W,21 mph,28 mph,29.92 in,0.0 in,Mostly Cloudy / Windy
117,2018-1-2,8:00 PM,18 F,10 F,73 %,WSW,23 mph,0 mph,29.91 in,0.0 in,Fair / Windy
118,2018-1-2,9:00 PM,18 F,9 F,68 %,WSW,21 mph,31 mph,29.89 in,0.0 in,Partly Cloudy / Windy
119,2018-1-2,10:00 PM,16 F,7 F,68 %,WSW,25 mph,0 mph,29.87 in,0.0 in,Fair / Windy
120,2018-1-2,11:00 PM,16 F,7 F,68 %,WSW,20 mph,28 mph,29.86 in,0.0 in,Partly Cloudy
121,2018-1-2,12:00 AM,14 F,5 F,67 %,WSW,21 mph,30 mph,29.86 in,0.0 in,Cloudy / Windy
122,2018-1-3,1:00 AM,14 F,3 F,62 %,WSW,24 mph,32 mph,29.86 in,0.0 in,Mostly Cloudy / Windy
123,2018-1-3,2:00 AM,14 F,3 F,62 %,W,20 mph,30 mph,29.85 in,0.0 in,Cloudy
124,2018-1-3,3:00 AM,14 F,3 F,62 %,WSW,23 mph,30 mph,29.84 in,0.0 in,Mostly Cloudy / Windy
125,2018-1-3,4:00 AM,14 F,5 F,67 %,WSW,18 mph,28 mph,29.83 in,0.0 in,Fair
126,2018-1-3,5:00 AM,16 F,7 F,68 %,WSW,24 mph,31 mph,29.82 in,0.0 in,Cloudy / Windy
127,2018-1-3,6:00 AM,18 F,10 F,73 %,WSW,26 mph,36 mph,29.80 in,0.0 in,Cloudy / Windy
128,2018-1-3,7:00 AM,18 F,5 F,58 %,WSW,24 mph,30 mph,29.81 in,0.0 in,Cloudy / Windy
129,2018-1-3,8:00 AM,18 F,5 F,58 %,SW,32 mph,38 mph,29.80 in,0.0 in,Cloudy / Windy
