,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2020-1-1,1:00 AM,32 F,25 F,75 %,WSW,22 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy / Windy
1,2020-1-1,2:00 AM,32 F,25 F,75 %,WSW,21 mph,26 mph,29.32 in,0.0 in,Cloudy / Windy
2,2020-1-1,3:00 AM,32 F,25 F,75 %,WSW,21 mph,0 mph,29.33 in,0.0 in,Cloudy / Windy
3,2020-1-1,4:00 AM,32 F,25 F,75 %,WSW,20 mph,0 mph,29.35 in,0.0 in,Cloudy
4,2020-1-1,4:23 AM,32 F,25 F,75 %,WSW,18 mph,0 mph,29.35 in,0.0 in,Light Snow
5,2020-1-1,5:00 AM,32 F,25 F,75 %,WSW,17 mph,0 mph,29.36 in,0.0 in,Light Snow
6,2020-1-1,6:00 AM,32 F,25 F,75 %,WSW,20 mph,0 mph,29.36 in,0.0 in,Light Snow
7,2020-1-1,6:08 AM,32 F,25 F,75 %,WSW,16 mph,24 mph,29.36 in,0.0 in,Partly Cloudy
8,2020-1-1,6:52 AM,32 F,25 F,75 %,WSW,18 mph,29 mph,29.37 in,0.0 in,Light Snow
9,2020-1-1,7:00 AM,32 F,25 F,75 %,WSW,20 mph,0 mph,29.37 in,0.0 in,Light Snow
10,2020-1-1,7:53 AM,32 F,25 F,75 %,WSW,18 mph,0 mph,29.38 in,0.0 in,Cloudy
11,2020-1-1,8:00 AM,32 F,25 F,75 %,WSW,18 mph,0 mph,29.38 in,0.0 in,Cloudy
12,2020-1-1,9:00 AM,32 F,23 F,69 %,WSW,17 mph,0 mph,29.41 in,0.0 in,Cloudy
13,2020-1-1,10:00 AM,32 F,25 F,75 %,WSW,17 mph,0 mph,29.43 in,0.0 in,Mostly Cloudy
14,2020-1-1,11:00 AM,32 F,25 F,75 %,WSW,20 mph,25 mph,29.45 in,0.0 in,Cloudy
15,2020-1-1,12:00 PM,32 F,25 F,75 %,WSW,21 mph,26 mph,29.46 in,0.0 in,Cloudy / Windy
16,2020-1-1,12:06 PM,32 F,25 F,75 %,WSW,24 mph,30 mph,29.46 in,0.0 in,Light Rain / Windy
17,2020-1-1,12:09 PM,32 F,25 F,75 %,WSW,20 mph,30 mph,29.46 in,0.0 in,Light Rain
18,2020-1-1,12:16 PM,32 F,25 F,75 %,WSW,21 mph,26 mph,29.46 in,0.0 in,Unknown Precipitation
19,2020-1-1,12:19 PM,32 F,25 F,75 %,WSW,22 mph,0 mph,29.46 in,0.0 in,Cloudy / Windy
