,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2011-1-1,12:53 AM,43 F,41 F,93 %,ENE,8 mph,0 mph,29.65 in,0.0 in,Cloudy
1,2011-1-1,1:00 AM,43 F,41 F,93 %,ENE,8 mph,0 mph,29.65 in,0.0 in,Cloudy
2,2011-1-1,1:04 AM,43 F,41 F,93 %,E,6 mph,0 mph,29.65 in,0.0 in,Mostly Cloudy
3,2011-1-1,2:00 AM,43 F,41 F,93 %,E,6 mph,0 mph,29.66 in,0.0 in,Cloudy
4,2011-1-1,3:00 AM,43 F,41 F,93 %,E,6 mph,0 mph,29.66 in,0.0 in,Mostly Cloudy
5,2011-1-1,3:15 AM,43 F,41 F,93 %,E,12 mph,0 mph,29.65 in,0.0 in,Mostly Cloudy
6,2011-1-1,3:44 AM,43 F,41 F,93 %,E,10 mph,0 mph,29.65 in,0.0 in,Mostly Cloudy
7,2011-1-1,4:00 AM,43 F,41 F,93 %,E,13 mph,0 mph,29.66 in,0.0 in,Mostly Cloudy
8,2011-1-1,6:00 AM,43 F,41 F,93 %,ENE,13 mph,0 mph,29.62 in,0.0 in,Cloudy
9,2011-1-1,7:00 AM,43 F,41 F,93 %,ENE,13 mph,0 mph,29.59 in,0.0 in,Cloudy
10,2011-1-1,7:07 AM,45 F,43 F,93 %,E,12 mph,0 mph,29.59 in,0.0 in,Cloudy
11,2011-1-1,8:00 AM,45 F,43 F,93 %,ENE,10 mph,0 mph,29.60 in,0.0 in,Cloudy
12,2011-1-1,8:19 AM,45 F,43 F,93 %,ENE,13 mph,0 mph,29.61 in,0.0 in,Cloudy
13,2011-1-1,8:21 AM,45 F,43 F,93 %,E,9 mph,0 mph,29.61 in,0.0 in,Cloudy
14,2011-1-1,8:33 AM,45 F,43 F,93 %,ENE,12 mph,0 mph,29.61 in,0.0 in,Cloudy
15,2011-1-1,8:38 AM,45 F,43 F,93 %,E,7 mph,0 mph,29.61 in,0.0 in,Cloudy
